dia,numero
31/12/2023,28
31/12/2023,16
30/12/2023,81
30/12/2023,91
30/12/2023,55
29/12/2023,40
29/12/2023,38
29/12/2023,68
28/12/2023,38
28/12/2023,95
28/12/2023,34
27/12/2023,32
27/12/2023,95
27/12/2023,18
26/12/2023,27
26/12/2023,2
26/12/2023,84
24/12/2023,72
24/12/2023,92
23/12/2023,85
23/12/2023,86
23/12/2023,98
22/12/2023,79
22/12/2023,79
22/12/2023,92
21/12/2023,42
21/12/2023,35
21/12/2023,4
20/12/2023,70
20/12/2023,43
20/12/2023,32
19/12/2023,73
19/12/2023,59
19/12/2023,36
18/12/2023,47
18/12/2023,54
18/12/2023,95
17/12/2023,30
17/12/2023,84
17/12/2023,94
16/12/2023,35
16/12/2023,43
16/12/2023,5
15/12/2023,31
15/12/2023,22
15/12/2023,31
14/12/2023,86
14/12/2023,25
14/12/2023,63
13/12/2023,8
13/12/2023,49
13/12/2023,32
12/12/2023,45
12/12/2023,59
12/12/2023,78
11/12/2023,93
11/12/2023,65
11/12/2023,40
10/12/2023,69
10/12/2023,98
10/12/2023,64
09/12/2023,79
09/12/2023,96
09/12/2023,72
08/12/2023,77
08/12/2023,47
08/12/2023,12
07/12/2023,95
07/12/2023,45
07/12/2023,66
06/12/2023,4
06/12/2023,1
06/12/2023,54
05/12/2023,68
05/12/2023,48
05/12/2023,70
04/12/2023,6
04/12/2023,9
04/12/2023,92
03/12/2023,76
03/12/2023,36
03/12/2023,20
02/12/2023,80
02/12/2023,59
02/12/2023,78
01/12/2023,50
01/12/2023,30
01/12/2023,75
30/11/2023,68
30/11/2023,2
30/11/2023,31
29/11/2023,64
29/11/2023,41
29/11/2023,98
28/11/2023,75
28/11/2023,52
28/11/2023,36
27/11/2023,60
27/11/2023,89
27/11/2023,10
26/11/2023,98
26/11/2023,89
26/11/2023,15
25/11/2023,21
25/11/2023,48
25/11/2023,51
24/11/2023,4
24/11/2023,46
24/11/2023,69
23/11/2023,24
23/11/2023,83
23/11/2023,86
22/11/2023,84
22/11/2023,78
22/11/2023,9
21/11/2023,42
21/11/2023,41
21/11/2023,27
20/11/2023,9
20/11/2023,8
20/11/2023,42
19/11/2023,60
19/11/2023,51
19/11/2023,27
18/11/2023,68
18/11/2023,64
18/11/2023,72
17/11/2023,35
17/11/2023,70
17/11/2023,57
16/11/2023,84
16/11/2023,58
16/11/2023,3
15/11/2023,72
15/11/2023,70
15/11/2023,2
14/11/2023,63
14/11/2023,19
14/11/2023,53
13/11/2023,56
13/11/2023,9
13/11/2023,57
12/11/2023,40
12/11/2023,49
12/11/2023,44
11/11/2023,37
11/11/2023,76
11/11/2023,94
10/11/2023,14
10/11/2023,38
10/11/2023,18
09/11/2023,18
09/11/2023,15
09/11/2023,28
08/11/2023,12
08/11/2023,57
08/11/2023,98
07/11/2023,60
07/11/2023,6
07/11/2023,55
06/11/2023,74
06/11/2023,14
06/11/2023,56
05/11/2023,36
05/11/2023,66
05/11/2023,63
04/11/2023,52
04/11/2023,13
04/11/2023,86
03/11/2023,88
03/11/2023,94
03/11/2023,79
02/11/2023,22
02/11/2023,81
02/11/2023,81
01/11/2023,92
01/11/2023,3
01/11/2023,41
31/10/2023,88
31/10/2023,0
31/10/2023,64
30/10/2023,34
30/10/2023,39
30/10/2023,68
29/10/2023,88
29/10/2023,69
29/10/2023,84
28/10/2023,28
28/10/2023,95
28/10/2023,4
27/10/2023,75
27/10/2023,90
27/10/2023,27
26/10/2023,78
26/10/2023,52
26/10/2023,89
25/10/2023,5
25/10/2023,98
25/10/2023,39
24/10/2023,29
24/10/2023,31
24/10/2023,71
23/10/2023,94
23/10/2023,67
23/10/2023,72
22/10/2023,11
22/10/2023,8
22/10/2023,98
21/10/2023,62
21/10/2023,82
21/10/2023,90
20/10/2023,57
20/10/2023,66
20/10/2023,81
19/10/2023,31
19/10/2023,20
19/10/2023,68
18/10/2023,70
18/10/2023,63
18/10/2023,21
17/10/2023,85
17/10/2023,26
17/10/2023,25
16/10/2023,52
16/10/2023,15
16/10/2023,0
15/10/2023,55
15/10/2023,92
15/10/2023,41
14/10/2023,74
14/10/2023,2
14/10/2023,21
13/10/2023,7
13/10/2023,97
13/10/2023,57
12/10/2023,25
12/10/2023,61
12/10/2023,20
11/10/2023,52
11/10/2023,84
11/10/2023,63
10/10/2023,7
10/10/2023,62
10/10/2023,73
09/10/2023,35
09/10/2023,32
09/10/2023,9
08/10/2023,38
08/10/2023,2
08/10/2023,51
07/10/2023,80
07/10/2023,18
07/10/2023,60
06/10/2023,88
06/10/2023,11
06/10/2023,93
05/10/2023,20
05/10/2023,86
05/10/2023,24
04/10/2023,91
04/10/2023,71
04/10/2023,6
03/10/2023,69
03/10/2023,29
03/10/2023,90
02/10/2023,70
02/10/2023,39
02/10/2023,7
01/10/2023,49
01/10/2023,88
01/10/2023,79
30/09/2023,30
30/09/2023,50
30/09/2023,36
29/09/2023,24
29/09/2023,57
29/09/2023,70
28/09/2023,15
28/09/2023,63
28/09/2023,69
27/09/2023,57
27/09/2023,23
27/09/2023,54
26/09/2023,40
26/09/2023,87
26/09/2023,67
25/09/2023,75
25/09/2023,6
25/09/2023,4
24/09/2023,74
24/09/2023,98
24/09/2023,11
23/09/2023,48
23/09/2023,9
23/09/2023,33
22/09/2023,46
22/09/2023,43
22/09/2023,1
21/09/2023,43
21/09/2023,92
21/09/2023,83
20/09/2023,62
20/09/2023,87
20/09/2023,37
19/09/2023,46
19/09/2023,35
19/09/2023,17
18/09/2023,24
18/09/2023,29
18/09/2023,11
17/09/2023,77
17/09/2023,53
17/09/2023,19
16/09/2023,39
16/09/2023,64
16/09/2023,96
15/09/2023,56
15/09/2023,82
15/09/2023,64
14/09/2023,62
14/09/2023,14
14/09/2023,51
13/09/2023,68
13/09/2023,52
13/09/2023,82
12/09/2023,64
12/09/2023,27
12/09/2023,27
11/09/2023,74
11/09/2023,0
11/09/2023,13
10/09/2023,26
10/09/2023,55
10/09/2023,72
09/09/2023,3
09/09/2023,93
09/09/2023,8
08/09/2023,93
08/09/2023,41
08/09/2023,49
07/09/2023,99
07/09/2023,39
07/09/2023,30
06/09/2023,44
06/09/2023,77
06/09/2023,18
05/09/2023,51
05/09/2023,20
05/09/2023,64
04/09/2023,7
04/09/2023,91
04/09/2023,87
03/09/2023,73
03/09/2023,72
03/09/2023,65
02/09/2023,60
02/09/2023,20
02/09/2023,81
01/09/2023,34
01/09/2023,41
01/09/2023,95
